# x, y, z, enabled, mirrorX, mirrorY, mirrorZ, radialMirrorX, radialMirrorY, radialMirrorZ, radialMirrorO
-155.1, 46.2, 0, true, false, false, false, false, false, false, false
142.3, 32.4, 62.5, true, false, false, true, false, false, false, false
-146.7, 56.1, 0, true, false, false, false, false, false, false, false
-150, 46.2, 38.2, true, false, false, true, false, false, false, false
-30, 64.1, 40, true, false, false, true, false, false, false, false
136.4, 10, 50, true, true, false, true, false, true, false, false
145.2, 20.2, 65, true, false, false, true, false, false, false, false
-30, 36.8, 59.7, true, false, false, true, false, false, false, false
-147.9, 50, 33.6, true, false, false, true, false, false, false, false
150.6, 31.9, 0, true, false, false, false, false, false, false, false
153.8, 20, 0, true, false, false, false, false, false, false, false
